id	priority	title	location	message
feat-2dd2a53f1fef	P0	Missing error propagation	syncthing-rs/src/folder_core.rs:278	The Go Flush returns error and propagates failures from both flushToRemove and updateBatch.Flush; the Rust signature returns (Vec<db::FileInfo>, Vec<String>) with no Result wrapper, so all error paths from both sub-operations are silently dropped. This eliminates the short-circuit behavior where a flushToRemove error prevents updateBatch.Flush from executing.
feat-2dd2a53f1fef	P1	Side-effect persistence replaced with data extraction	syncthing-rs/src/folder_core.rs:280	In Go, updateBatch.Flush() is itself a persistence call that writes accumulated file updates to the database as a side effect. The Rust implementation replaces this with a std::mem::swap that merely drains the Vec out of the struct and returns it to the caller, deferring all persistence responsibility. The method no longer performs a flush; it performs an extract, fundamentally changing the call-site contract and making correctness dependent on every caller remembering to persist the returned data.
feat-2dd2a53f1fef	P2	Execution order reversed	syncthing-rs/src/folder_core.rs:280-281	Go calls flushToRemove first (line 613), then updateBatch.Flush (line 616). Rust drains updateBatch first (line 280), then calls flushToRemove (line 281). If flushToRemove mutates state that updateBatch.Flush depends on (or vice versa), the reversed order produces different observable behavior. The Go ordering also ensures removes are committed before updates, which may be semantically significant for conflict resolution.
feat-2535ccac35c2	P0	Return type *Vector vs i64	syncthing-rs/src/bep_compat.rs:333	The Go method returns `*Vector`, a protobuf vector-clock struct containing a slice of Counter entries (ID + Value pairs), which is essential for version-vector comparison and conflict resolution on the wire. The Rust method returns a bare `i64`, collapsing the entire vector clock into a single scalar. This breaks wire/schema compatibility (the protobuf field is message-typed, not int64), eliminates multi-device version tracking semantics, and will produce incorrect results in any conflict-resolution or index-sequence-behavior scenario that compares versions from different devices.
feat-2535ccac35c2	P1	Nil/None path lost for absent version	syncthing-rs/src/bep_compat.rs:333-335	The Go method can return `nil` both when the receiver is nil and when `x.Version` is an unset field (nil pointer). The Rust method always returns an `i64` value (defaulting to 0), making it impossible for callers to distinguish "version not set" from "version is zero". This matters for protocol-state-transition and crash-recovery scenarios where an absent version vector signals an uninitialized or reset state distinct from a zero-valued version.
feat-2535ccac35c2	P2	Receiver type mismatch vs mapping metadata	internal/gen/bep/bep.pb.go:1040	The mapping metadata declares the Go symbol as `FileDownloadProgressUpdate.GetVersion`, but the provided Go source shows the method on `*FileInfo`. If the Rust implementation is intended to port `FileDownloadProgressUpdate.GetVersion` (which returns `int32` per the protobuf schema) rather than `FileInfo.GetVersion` (which returns `*Vector`), the return type `i64` is still wrong (should be `i32`), and the source-of-truth method is misidentified, risking silent behavioral divergence.
feat-062ab02e5300	P0	Missing duration parameter	syncthing-rs/src/folder_core.rs:476	The Go method accepts a `next time.Duration` parameter that is sent on the `scanDelay` channel to communicate a specific delay to the scan scheduling loop. The Rust method takes no parameter, so callers cannot specify a delay duration, and any call site that needs to pass a non-default delay will silently lose that value.
feat-062ab02e5300	P0	Wrong side-effect semantics	syncthing-rs/src/folder_core.rs:477	The Go method sends the duration on channel `f.scanDelay`, which is consumed by the folder's scan loop to reschedule the next scan after the given delay. The Rust method instead sets `self.scanScheduled = false`, which merely clears a boolean flag. These are not equivalent: Go delays the scan by a caller-specified duration while Rust cancels any pending scheduled scan outright, producing different scan timing behavior under every invocation.
feat-062ab02e5300	P1	Missing done/shutdown guard	syncthing-rs/src/folder_core.rs:476-478	The Go method uses a `select` with `case <-f.done` so that the operation returns immediately without blocking if the folder has been stopped. The Rust method has no corresponding check against a shutdown or cancellation signal, meaning it will unconditionally mutate state even after the folder should be considered closed, risking state corruption during teardown.
feat-02621056e16a	P0	Return type mismatch breaks reflection API	syncthing-rs/src/bep_compat.rs:27	Go returns `protoreflect.EnumDescriptor`, a rich interface carrying full protobuf schema metadata (FullName, Values, Options, parent FileDescriptor, etc.), while Rust returns `&'static str`. Any consumer that calls chained descriptor methods (e.g. `.FullName()`, `.Values()`, `.Options()`) will fail at compile time in Rust, and any runtime logic that inspects the descriptor for enum value resolution, proto registration, or reflection-based serialization will silently produce wrong results or panic. This is not a cosmetic difference; it breaks wire-level schema introspection required by the protocol-state-transition and index-sequence-behavior test scenarios.
feat-02621056e16a	P1	Visibility downgrade from public to crate-internal	syncthing-rs/src/bep_compat.rs:27	Go `Descriptor()` is an exported method (uppercase) implementing the `protoreflect.EnumDescriptor` interface and callable by any external package. Rust declares it `pub(crate)`, restricting access to the defining crate only. External crates depending on bep-compat that need to obtain the descriptor (e.g. for proto registration or reflection) will not be able to call this method, breaking cross-crate interoperability that the Go API guarantees.
feat-02621056e16a	P2	Receiver semantics differ subtly	internal/gen/bep/bep.pb.go:70	Go uses a value receiver `(MessageType)` with no reference to the receiver value — it unconditionally returns `file_bep_bep_proto_enumTypes[0].Descriptor()`, a singleton looked up from a package-level generated slice. Rust takes `&self` and calls `descriptor($name)` where `$name` is a macro-expanded compile-time token. While neither actually inspects the instance value, the Go version is tied to a specific index (`[0]`) in a generated type registry, meaning the descriptor identity is coupled to proto codegen ordering. The Rust version uses a name-based lookup, which could diverge if the registry ordering or naming convention drifts between the Go and Rust codegen outputs.
